mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
-1.0,46655.0,2.0,41.0,0.0,0.0,0.0,9,CENTRE DIV IMPOTS DE DOUALA 2,J,nan,0.0
-1.0,820335.0,0.0,139.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,R,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
0.0,8279.0,2.0,57.0,0.0,0.0,0.0,1,CENTRE PRINCIPAL DES IMPOTS DU LITTORAL 1,J,ELEVAGE N.C.A,0.0
2.0,9367808.0,3.0,70.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,INDUSTRIES MANUFACTURIERES,1.0
0.0,0.0,3.0,7.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 2,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
0.0,1074.0,3.0,6.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,COMMERCE DE GROS ET DE DETAIL,1.0
-1.0,42949.0,3.0,6.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 4,V,FABRICATION DE PRODUITS CHIMIQUES ET PHARMACEUTIQUES,1.0
-1.0,27197189.0,3.0,747.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,"TRANSPORT AERIEN, SECURITE ET NAVIGATION AERIENNES",1.0
0.0,21034.0,1.0,26.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 7,J,CONSEILS JURIDIQUES,0.0
-1.0,487678.0,0.0,19.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 1,R,"TRANSPORT AERIEN, SECURITE ET NAVIGATION AERIENNES",1.0
-1.0,-1361337.0,2.0,43.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,1.0
2.0,1944621.0,3.0,83.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,SERV. FOURN. AUX ENTREPRISES,0.0
